game_id,season,quarter,time,minute,second,play,pos_team,away_score,home_score
4eqyt7yhtfqo,2026,2,2:00,2,0,Marina Mabrey misses two point driving layup,Lunar Owls,32,32
4eqyt7yhtfqo,2026,2,1:58,1,58,Rhyne Howard defensive rebound,Vinyl,32,32
4eqyt7yhtfqo,2026,2,1:51,1,51,Courtney Williams makes two point pullup jump shot,Vinyl,34,32
4eqyt7yhtfqo,2026,2,1:48,1,48,Lunar Owls 60 second timeout,Lunar Owls,34,32
4eqyt7yhtfqo,2026,2,1:35,1,35,Aaliyah Edwards makes two point layup (Skylar Diggins assists),Lunar Owls,34,34
4eqyt7yhtfqo,2026,2,1:27,1,27,Aaliyah Edwards blocks Dearica Hamby's two point driving layup,Vinyl,34,34
4eqyt7yhtfqo,2026,2,1:25,1,25,Lunar Owls defensive rebound,Lunar Owls,34,34
4eqyt7yhtfqo,2026,2,1:20,1,20,Aaliyah Edwards turnover (traveling),Lunar Owls,34,34
4eqyt7yhtfqo,2026,2,1:07,1,7,Dearica Hamby misses two point driving finger roll layup,Vinyl,34,34
4eqyt7yhtfqo,2026,2,1:05,1,5,Aaliyah Edwards defensive rebound,Lunar Owls,34,34
4eqyt7yhtfqo,2026,2,1:03,1,3,Marina Mabrey makes three point jump shot (Aaliyah Edwards assists),Lunar Owls,34,37
4eqyt7yhtfqo,2026,2,0:53,0,53,Courtney Williams makes two point jump shot,Vinyl,36,37
4eqyt7yhtfqo,2026,2,0:41,0,41,Marina Mabrey misses two point layup,Lunar Owls,36,37
4eqyt7yhtfqo,2026,2,0:40,0,40,Courtney Williams defensive rebound,Vinyl,36,37
4eqyt7yhtfqo,2026,2,0:40,0,40,Instant replay (challenge: overturned),Vinyl,36,37
4eqyt7yhtfqo,2026,2,0:26,0,26,Rhyne Howard makes two point driving layup,Vinyl,38,37
4eqyt7yhtfqo,2026,2,0:10,0,10,Aaliyah Edwards misses two point layup,Lunar Owls,38,37
4eqyt7yhtfqo,2026,2,0:08,0,8,Rhyne Howard defensive rebound,Vinyl,38,37
4eqyt7yhtfqo,2026,2,0:04,0,4,Courtney Williams misses two point pullup jump shot,Vinyl,38,37
4eqyt7yhtfqo,2026,2,0:02,0,2,Marina Mabrey defensive rebound,Lunar Owls,38,37
4eqyt7yhtfqo,2026,2,0:00,0,0,End of 1st Half.,NA,38,37
4eqyt7yhtfqo,2026,3,7:00,7,0,"Lunar Owls lineup change (Marina Mabrey, Rebecca Allen, Aaliyah Edwards)",Lunar Owls,38,37
4eqyt7yhtfqo,2026,3,7:00,7,0,Open inbound Lunar Owls,Lunar Owls,38,37
4eqyt7yhtfqo,2026,3,6:46,6,46,Aaliyah Edwards offensive foul (Rhyne Howard draws the foul),Lunar Owls,38,37
4eqyt7yhtfqo,2026,3,6:46,6,46,Aaliyah Edwards turnover (offensive foul),Lunar Owls,38,37
4eqyt7yhtfqo,2026,3,6:33,6,33,Courtney Williams makes two point pullup jump shot (Rhyne Howard assists),Vinyl,40,37
4eqyt7yhtfqo,2026,3,6:20,6,20,Marina Mabrey makes two point driving layup,Lunar Owls,40,39
4eqyt7yhtfqo,2026,3,6:11,6,11,Rebecca Allen blocks Rhyne Howard's three point jump shot,Vinyl,40,39
4eqyt7yhtfqo,2026,3,6:09,6,9,Marina Mabrey defensive rebound,Lunar Owls,40,39
